n_neurons,position,D0,R2_D0,D1,R2_D1,overlap_area,overlap_percentage,filled_overlap_percentage,mean_soma_distance,std_soma_distance,total_intersections,intersections_per_neuron,std_intersections_per_neuron
2,0,1.431134006598531,0.9987353323683584,1.4471681064074904,0.9991310743760732,256,0.2699709992090693,0.2707018156055367,851.9937013104284,0.0,15,7.5,0.0
2,1,1.396563015204605,0.9989434263370512,1.4056832703834017,0.9994233216276032,0,0.0,0.0,1293.8140646122215,0.0,0,0.0,0.0
2,2,1.4785763511949144,0.9989807042614544,1.4954799288299956,0.9991811429909307,676,0.7111073709014023,0.7162003241971882,659.4470557303611,0.0,26,13.0,0.0
2,3,1.4522632832658744,0.998326818539918,1.4490542045707862,0.9990163338084002,275,0.2883385409021326,0.2891723361970157,790.9645670930672,0.0,28,14.0,0.0
2,4,1.417135440073082,0.998585516419538,1.421075330883963,0.9991057650911432,0,0.0,0.0,1124.4632071249,0.0,0,0.0,0.0
2,5,1.429362762491308,0.9984548683868668,1.4423126299522102,0.99919102899849,59,0.0621674305884832,0.0622061025240916,963.83451637416,0.0,6,3.0,0.0
2,6,1.4060485523020008,0.9986060663989168,1.414384782246891,0.9992198625300202,0,0.0,0.0,1168.6355932273189,0.0,0,0.0,0.0
2,7,1.4342224661122882,0.9985476911957546,1.4502057676102689,0.998866471246112,54,0.0567680080736722,0.0568002524455664,873.6393406377972,0.0,5,2.5,0.0
2,8,1.5302518291631342,0.9991496720543764,1.5525605733045906,0.9994907579789412,2363,2.4802930587482024,2.543376243165281,266.79110647318447,0.0,47,23.5,0.0
2,9,1.4006504493205325,0.9988480053020014,1.4126179225371196,0.9993222527139586,0,0.0,0.0,1112.496748526066,0.0,0,0.0,0.0
2,10,1.3992497988969568,0.9988840361975524,1.4100762597796446,0.9993251693521364,0,0.0,0.0,1115.7323116941898,0.0,0,0.0,0.0
2,11,1.482863834931943,0.9985630923786264,1.5137774703563396,0.9991150033512518,2338,2.445402058405154,2.5067009756620564,387.531106236218,0.0,77,38.5,0.0
2,12,1.4336080624097476,0.9984472155743752,1.4295421960684636,0.999234607896279,56,0.0587168276136852,0.0587513245276288,964.0361484147396,0.0,3,1.5,0.0
2,13,1.401190956881099,0.9981940562037808,1.406534591800752,0.9994324376658827,0,0.0,0.0,1355.5084132111265,0.0,0,0.0,0.0
2,14,1.397953612020878,0.999054101465488,1.414374464402536,0.9993196797291392,0,0.0,0.0,1086.408808438106,0.0,0,0.0,0.0
2,15,1.4443390511955043,0.9980918337423412,1.4357238367026726,0.9991095904284808,136,0.1425980099189498,0.1428016422188855,853.474190550749,0.0,14,7.0,0.0
2,16,1.3972503513732206,0.99886510131204,1.4075744041876557,0.9993656042104172,0,0.0,0.0,1191.276593165932,0.0,0,0.0,0.0
2,17,1.4609955278558984,0.9990455092555672,1.4810687322517322,0.9993563460918534,554,0.5810721515402607,0.5844683342652474,701.0905848215612,0.0,20,10.0,0.0
2,18,1.5307168034340093,0.9987736135227966,1.5536837842347826,0.99926354868743,2000,2.097469403165081,2.1424057073688045,260.6899526481449,0.0,40,20.0,0.0
2,19,1.4771082427004931,0.9989873521684473,1.4992435288305452,0.9991844524047676,895,0.9354879170499204,0.9443219346465914,600.2270537050047,0.0,24,12.0,0.0
2,20,1.4496068830822857,0.9988272974128198,1.4565570181714669,0.9989196885018836,57,0.0596977409118044,0.0597334004024144,817.2070910599826,0.0,4,2.0,0.0
2,21,1.418800703701964,0.998524143914644,1.420545442027011,0.999305301767432,14,0.0146389920008365,0.0146411353154641,1074.4687486492903,0.0,2,1.0,0.0
2,22,1.4034142092406483,0.9986661206817792,1.4123495791967786,0.9993131926575696,0,0.0,0.0,1186.212617559613,0.0,0,0.0,0.0
2,23,1.3986365508756675,0.99894951399551,1.4112364658992993,0.999405447861092,0,0.0,0.0,1198.119657898125,0.0,0,0.0,0.0
2,24,1.3981723760487212,0.998905680694006,1.4103384017145797,0.99942215419509,0,0.0,0.0,1213.9323474476146,0.0,0,0.0,0.0
2,25,1.47220032717425,0.9984355259762298,1.4949282084821809,0.9989087895998554,969,1.0096063681260288,1.019903377574756,538.6829469989103,0.0,33,16.5,0.0
2,26,1.4502382232842308,0.998351997958168,1.4391993332182795,0.999120216121282,269,0.2803455858597438,0.2811337318673968,847.4232741987639,0.0,18,9.0,0.0
2,27,1.525350946711748,0.9981729215399692,1.5430906922367933,0.998832097770456,2516,2.624004004839181,2.694713392168623,270.7793965736241,0.0,83,41.5,0.0
2,28,1.4403115000311075,0.9984639984663624,1.44487015091855,0.9991445468929884,204,0.2123562171446416,0.2128081284359645,824.62238081428,0.0,16,8.0,0.0
2,29,1.4486507771372523,0.9984934308902506,1.4463975659036563,0.9992486080925466,190,0.1972243271017366,0.1976140701217926,800.7307180682719,0.0,8,4.0,0.0
2,30,1.5031870298250387,0.9987253659430642,1.5132111084312163,0.999106120774652,1123,1.1673111305143238,1.1810982215163912,501.63483700731655,0.0,28,14.0,0.0
2,31,1.4433805327515816,0.9987776253067115,1.4593342901101136,0.9989857329804012,130,0.134486468592237,0.134667578262581,716.1670409143715,0.0,7,3.5,0.0
2,32,1.4946824214590826,0.9991245930242822,1.517668161859999,0.9992345202912832,1252,1.2987147702872317,1.3158033021197886,528.482153575194,0.0,36,18.0,0.0
2,33,1.4313917959793676,0.997740062539368,1.4246432192895215,0.9991080348914128,0,0.0,0.0,983.7291739172424,0.0,0,0.0,0.0
2,34,1.462256686188222,0.9987915260842296,1.46777597408256,0.9991982413742974,391,0.404552509053285,0.4061957842903001,720.1816038038515,0.0,25,12.5,0.0
2,35,1.4561814048113806,0.9987932055925518,1.472194826753376,0.9991028262652514,491,0.5077927047459485,0.5103843994927341,727.8120747443344,0.0,27,13.5,0.0
2,36,1.4330006750650712,0.9990228717862628,1.462221663577831,0.9993108146759908,185,0.1917158046364135,0.1920840601378852,804.7677820044447,0.0,11,5.5,0.0
2,37,1.4163161668168494,0.9988470424533856,1.4279884115861317,0.9991354755136884,0,0.0,0.0,1038.5106753132295,0.0,0,0.0,0.0
2,38,1.3844850703791003,0.99928314196287,1.4062210052078274,0.9995180686574086,0,0.0,0.0,1711.9348066561613,0.0,0,0.0,0.0
2,39,1.422154355701153,0.9986013479476183,1.4303424140833385,0.999236499477866,134,0.1383225806451612,0.1385141770293877,930.3401997469916,0.0,8,4.0,0.0
2,40,1.40423228942513,0.998910212116837,1.417331320295057,0.9992865137510604,0,0.0,0.0,1086.9105254958984,0.0,0,0.0,0.0
2,41,1.415907569740298,0.9985911822793524,1.4208652826256292,0.9992043624939266,0,0.0,0.0,1086.9686833488065,0.0,0,0.0,0.0
2,42,1.4665055707072323,0.9983350280885446,1.4705099446862964,0.9989304226860564,111,0.1146208733904028,0.1147524035976429,721.0684468795594,0.0,8,4.0,0.0
2,43,1.3926672270784528,0.99900208023536,1.4091529962029865,0.9995021845588192,0,0.0,0.0,1519.36161274597,0.0,0,0.0,0.0
