n_neurons,position,D0,R2_D0,D1,R2_D1,overlap_area,overlap_percentage,filled_overlap_percentage,mean_soma_distance,std_soma_distance,total_intersections,intersections_per_neuron,std_intersections_per_neuron
9,0,1.629464987421474,0.9987051523984938,1.6531274470346218,0.9986377681227883,13914,3.1935037422796118,3.3006760763847702,955.0681295525343,377.56609174426484,468,52.0,35.13782387494517
9,1,1.6177171990907793,0.9992979677583413,1.6814512009967917,0.9990498036607065,21282,4.8823012564779615,5.1418589649115605,864.7735901123203,403.11318131537774,754,83.77777777777777,77.86614028234054
9,2,1.6268282002385368,0.9982975322613381,1.64316772605533,0.9981859136903763,12620,2.8884601211688423,2.9748154294388867,1054.6250217142313,474.93961701131116,422,46.888888888888886,46.55171026283633
9,3,1.6679649002741614,0.9993991542679009,1.7200389408745775,0.9990213919826035,23590,5.391667257106419,5.706392901721352,761.8243019909733,331.11153064452736,720,80.0,42.79667692187742
9,4,1.6461029457171026,0.9989729521124554,1.6786393110842306,0.9986073958088004,13882,3.173754000914495,3.2797342569448054,893.5058500489895,394.92074937315397,478,53.111111111111114,35.832256659104665
9,5,1.706351601117076,0.9997167982963697,1.7608289961550367,0.9993492262556984,36763,8.400494482769652,9.219168085623936,574.2156097186914,282.3155860585717,1171,130.11111111111111,87.59094039628854
9,6,1.637696947632023,0.9987367784480183,1.6663298286360586,0.9982956693140889,11264,2.572077070974165,2.640400185653138,943.0848849458619,386.32933715369325,387,43.0,26.093847721041236
9,7,1.664114162601099,0.9993238376629764,1.7091259456437615,0.9988317729740631,21998,5.0183414242435305,5.2887181385866295,762.2008210613544,313.74295890210556,703,78.11111111111111,59.91063303468996
9,8,1.6558022461031654,0.9990031446843994,1.6789239269941383,0.9986921271831287,16666,3.801377674376169,3.9553251882019005,876.4244412868685,371.65899903371474,539,59.888888888888886,50.274309272624585
9,9,1.6168426144296342,0.9991574770847756,1.6614298316192853,0.9988929941168821,15975,3.6378417521758735,3.777399446690785,926.1675544012934,387.5972884399574,467,51.888888888888886,38.64303236829744
9,10,1.678213467274422,0.9996349409058743,1.7347520810392028,0.9993602613559368,30641,6.974563250441017,7.525413405310352,702.9090928612483,386.19415558948646,899,99.88888888888889,44.74067942110098
9,11,1.641718384596317,0.9988701697707614,1.6813896678564948,0.9985003243004381,19129,4.345781440975614,4.552507698971408,858.4712968256166,404.80777732784196,612,68.0,83.25729864569098
9,12,1.6643122034503408,0.9993050271792387,1.7161231555200418,0.9989190789620527,23239,5.281362850240558,5.5863517918441525,757.7036839657251,322.3944418292033,725,80.55555555555556,47.49840803050244
9,13,1.623871095348375,0.9991245957433968,1.6746853195690627,0.9989182249144437,19453,4.4245855291738785,4.633917426559567,898.4591642509408,379.1063655770353,604,67.11111111111111,64.89440615813727
9,14,1.6656239606975942,0.9989191255212819,1.6993662957078917,0.9985578514208149,21491,4.86900295434361,5.121184609042319,764.5132446285435,302.77984307451976,697,77.44444444444444,46.323606759511684
9,15,1.6238339277462428,0.9992192025887252,1.6959466009100574,0.9991999582941189,30036,6.825215759167777,7.359852587318001,782.6672398473816,383.12880077234536,975,108.33333333333333,131.58436246167113
9,16,1.6448265716673982,0.9989609597802708,1.6838805067971958,0.9986381836274459,22033,4.995499447917163,5.266340642582952,867.4111081967853,366.0096347154057,663,73.66666666666667,28.666666666666668
9,17,1.6736431131204297,0.9992628022434857,1.7097345271910338,0.9988734986269747,20154,4.571146029902744,4.794986605252264,793.4532992809843,329.8798305848504,636,70.66666666666667,51.661290042824994
9,18,1.6552284610014276,0.9992147100795431,1.691740378877433,0.9988504463230168,19617,4.442667910743524,4.658126254051552,891.2981333353987,469.3699288261686,619,68.77777777777777,51.54094620592902
9,19,1.638789702998947,0.9990361251077587,1.688577561702629,0.9987877131862729,21506,4.869841672403174,5.129085727232616,855.3884143436308,422.69445885093864,702,78.0,68.27558535490967
9,20,1.6630216702604979,0.9993209907212749,1.72503698504304,0.9990274203995055,27399,6.2082935859642125,6.637209944550627,709.9045626764287,299.4790325528883,950,105.55555555555556,82.00602206131565
9,21,1.6181511833145374,0.9989761767752617,1.6652913430959537,0.9986055351406727,15026,3.4010941627301103,3.5219553813771864,900.9842000393214,382.3461473231026,532,59.111111111111114,47.135213960071596
9,22,1.640786420027539,0.9988320000019133,1.6798537782574392,0.9985809474483756,16902,3.824604913017505,3.9810439935745547,901.0205195516588,422.29723689143066,514,57.111111111111114,47.788370918684066
9,23,1.6890962566002834,0.9994383737466465,1.74043795068726,0.9992734826808886,31219,7.060310826458243,7.633567254321832,641.033430976301,300.00851852979275,964,107.11111111111111,85.59046906672337
9,24,1.6471483136931695,0.9989230983626335,1.6786098560093068,0.9985573521492976,16609,3.7514540300631305,3.8991374898466074,947.5092360753284,377.86843324278163,432,48.0,34.0359287289835
9,25,1.6499577169372996,0.9996270304100899,1.7201813082322608,0.9991879718441603,25361,5.728917241192363,6.095280669877619,732.8021927498535,315.44171457187053,909,101.0,74.78710524623287
9,26,1.6430999412784526,0.9984674128569849,1.669029414498555,0.9983842644378976,15240,3.4358837931796353,3.5601321266883765,964.3713081038438,428.86471459989747,491,54.55555555555556,45.31481103089179
9,27,1.6183561873837056,0.9987623304005052,1.6560240880144312,0.9984885926180922,17320,3.9026676490933956,4.062961833493631,972.6907947707049,377.2975768236114,604,67.11111111111111,45.50403590837429
9,28,1.632777784958654,0.9990154290688553,1.6744176438399871,0.9985164809154189,13255,2.985488117734768,3.078563166867182,986.6441201836739,410.97660083693984,491,54.55555555555556,54.19398171680125
9,29,1.6845492091809668,0.9992579757773061,1.730000940627889,0.9989600712149236,24435,5.5004547132605195,5.831408224827218,730.984561707006,357.7779725631525,785,87.22222222222223,46.06543922897105
9,30,1.632876730301139,0.9993630965199638,1.685817851295074,0.9990943996892915,21813,4.9122957151125215,5.179918643005222,858.9357139371946,450.79314927436883,762,84.66666666666667,94.63027469519936
9,31,1.6283507675172988,0.9987174270497489,1.648186286754091,0.9987071068506796,15526,3.492159173721761,3.620245018257451,1018.0889210084206,445.86552027003336,458,50.888888888888886,39.68984694625672
9,32,1.663623548253641,0.9991186965967781,1.700916879200582,0.9987602200903144,19150,4.313325359875488,4.513518163669832,788.4373491549317,386.16119708093333,577,64.11111111111111,64.76586511389019
9,33,1.6532121284822563,0.9995444016590883,1.7262703140119011,0.9991191653402935,30082,6.760501340548849,7.278261269304378,727.4547395219765,350.4764961022278,1022,113.55555555555556,98.25527347390621
9,34,1.6219682514164493,0.9992787539278533,1.6737380613041597,0.9989643127756166,22656,5.08714337678901,5.370756684999052,942.6020335791693,481.6243667023821,644,71.55555555555556,60.86495880123918
9,35,1.5906597547632233,0.9990688903391176,1.6520165030967513,0.9988097780764779,20746,4.66002232749539,4.897776098965958,965.3648325306053,454.24023397479095,734,81.55555555555556,83.84833456829386
9,36,1.6205857005351785,0.9992751211182846,1.662732465329062,0.9989407278653832,22044,4.94884798523697,5.214133319456731,1032.8807732735856,492.92573354301857,612,68.0,56.255370114031486
9,37,1.6633451402447945,0.9996596538966053,1.7421618716816927,0.9993329629138984,30221,6.77830386520997,7.2922900218134075,660.9299735988657,265.6690623818002,974,108.22222222222223,69.95889445653245
9,38,1.6072665479785522,0.9991750823949175,1.6578388310686782,0.9990303513392941,18275,4.097083504278678,4.278216329091403,903.9916986740022,402.5913021268065,604,67.11111111111111,75.53333006439796
9,39,1.6151501269922157,0.9986181823206154,1.6469523326869702,0.9986660092035406,15310,3.4323352434245336,3.556305066399073,1079.6064371951136,445.33559538175405,519,57.666666666666664,50.97275960964074
9,40,1.6120521991568777,0.9988707359486443,1.6464324972632245,0.9986430307917011,17675,3.957795457548025,4.122054800590497,1073.144102613864,447.8110057341415,514,57.111111111111114,46.9344170750297
9,41,1.6521043093207697,0.9994125372571919,1.7145719205037198,0.999046438623055,23063,5.177937580964911,5.468340624296096,807.5142166478994,347.9200205396778,743,82.55555555555556,39.26673583594486
9,42,1.590281771052208,0.9985698229637868,1.6263043579884453,0.9985981207690625,16796,3.7600263264524885,3.908555258724204,1132.5210632897913,479.71318554591727,509,56.55555555555556,68.82577754243673
9,43,1.6351974856241023,0.99904433800028,1.671293721645724,0.9986476208696666,14520,3.2514280979817407,3.3612433822627277,999.8607227345929,411.0120356528911,513,57.0,37.8359029964339
9,44,1.6290289030067213,0.9986511782225344,1.6527680753893332,0.9984880956296058,11939,2.6723520458411674,2.7469784157764314,945.201992385139,368.7727732385793,395,43.888888888888886,31.01532874699139
9,45,1.6386696830482386,0.9988295908921363,1.6800095682502287,0.9986011706241983,19949,4.4622246479251295,4.6766064186417236,876.6682787255336,354.7937482283766,626,69.55555555555556,62.734793543835416
9,46,1.6496080787522696,0.9993369880435503,1.7010551272989871,0.9990345743692558,25813,5.764789959130804,6.128471645164507,893.9914373255697,433.1477382287192,769,85.44444444444444,62.780825884703304
9,47,1.6812609757929677,0.9988164741708025,1.697111788067812,0.9986432513633355,17775,3.9714724275918467,4.137935850936535,867.7095721024419,396.4301638550934,513,57.0,25.547341675146292
9,48,1.6248881019378867,0.9990189273803354,1.6615303918774316,0.9986598000016603,16849,3.758429084160348,3.908373927163071,916.7384203802069,444.115934418497,522,58.0,77.86455476588105
9,49,1.6596368468719884,0.9989437091845436,1.6829637853789414,0.998746996660223,16098,3.585220819135431,3.720506698899656,924.5515229581611,356.8764729781946,559,62.111111111111114,28.71228067793283
9,50,1.658759857377904,0.9993571271745558,1.720926702883305,0.9991897828000262,30591,6.814840227406391,7.3453775338202885,714.3995917184006,312.9614742155628,1078,119.77777777777777,118.63961406162512
9,51,1.6393636551681365,0.9990786406417026,1.6850574098363233,0.9986667193405965,20986,4.6706549510811985,4.907249569160043,897.9081436596247,405.802062213549,660,73.33333333333333,47.53945729601885
9,52,1.6532953023200172,0.99901236355196,1.6838863934522752,0.9986404706061343,12888,2.869796989919638,2.9556040206121734,910.492286082628,395.85433524796724,465,51.666666666666664,38.781438859330635
9,53,1.6685265203730613,0.9994824488024462,1.7259674844920843,0.9993109720826557,29744,6.616850455709325,7.100586065720527,797.2347314697938,486.1833656541591,853,94.77777777777777,79.31107686559454
9,54,1.626361754630857,0.9990152693739203,1.6683276895976067,0.998460308959294,12883,2.858861071290671,2.9441473559120617,977.8951458532517,371.71545809327756,433,48.111111111111114,27.66376602375902
